Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-11-18 01:00:00, 37.4474, -122.8206,  1.2,  65,  6.7,  9.8
2011-11-18 01:30:00, 37.4392, -122.8256,  1.6,  40,  7.4,  9.8
2011-11-18 02:00:00, 37.4316, -122.8318,  1.5,  67,  7.5,  9.8
2011-11-18 02:30:00, 37.4237, -122.8359,  1.7,  42,  8.5, 10.7
2011-11-18 03:00:00, 37.4161, -122.8399,  1.7,  40,  7.6,  9.8
2011-11-18 03:30:00, 37.4079, -122.8443,  1.6,  54,  8.3, 10.7
2011-11-18 04:00:00, 37.3991, -122.8489,  2.1,  51,  8.8, 10.7
2011-11-18 04:30:00, 37.3903, -122.8532,  1.6,  41,  7.7, 11.6
2011-11-18 05:00:00, 37.3844, -122.8567,  1.6,  45,  8.3, 10.7
2011-11-18 05:30:00, 37.3773, -122.8606,  1.7,  44,  8.0, 10.7
2011-11-18 06:00:00, 37.3680, -122.8654,  1.7,  57,  8.1,  9.1
2011-11-18 06:30:00, 37.3596, -122.8696,  1.7,  60,  8.2, 10.7
2011-11-18 07:00:00, 37.3546, -122.8783,  1.5,  39,  6.9, 10.7
2011-11-18 07:30:00, 37.3570, -122.8890,  2.6,  48,  9.6, 10.7
2011-11-18 08:00:00, 37.3656, -122.8915,  1.8,  77,  7.4, 11.6
2011-11-18 08:30:00, 37.3721, -122.8823,  1.8,  43,  7.4,  9.8
2011-11-18 09:00:00, 37.3689, -122.8724,  1.5,  44,  7.2, 11.6
2011-11-18 09:30:00, 37.3623, -122.8703,  1.7,  33,  8.2, 10.7
2011-11-18 10:00:00, 37.3575, -122.8719,  1.6,  56,  7.8, 11.6
2011-11-18 10:30:00, 37.3521, -122.8705,  2.0,  53, 10.1, 11.6
2011-11-18 11:00:00, 37.3447, -122.8662,  1.8,  53,  8.9, 12.8
2011-11-18 11:30:00, 37.3368, -122.8613,  1.5,  52,  8.4, 11.6
2011-11-18 12:00:00, 37.3277, -122.8560,  1.8,  47,  9.6, 11.6
2011-11-18 12:30:00, 37.3186, -122.8506,  2.0,  51,  8.7, 11.6
2011-11-18 13:00:00, 37.3091, -122.8448,  2.1,  25,  9.1, 11.6
2011-11-18 13:30:00, 37.2995, -122.8394,  1.9,  44,  8.5, 11.6
2011-11-18 14:00:00, 37.2888, -122.8330,  1.6,  33,  8.3, 11.6
2011-11-18 14:30:00, 37.2779, -122.8266,  2.1,  20,  9.1, 11.6
2011-11-18 15:00:00, 37.2664, -122.8197,  2.2,  55,  9.6, 11.6
2011-11-18 15:30:00, 37.2549, -122.8131,  2.0,  49,  8.8, 11.6
2011-11-18 16:00:00, 37.2441, -122.8067,  1.9,  62,  9.5, 10.7
2011-11-18 16:30:00, 37.2335, -122.8004,  2.2,  45,  9.0, 12.8
2011-11-18 17:00:00, 37.2228, -122.7940,  2.4,  37,  8.5, 14.2
2011-11-18 17:30:00, 37.2121, -122.7880,  2.2,  55,  7.2,  9.8
2011-11-18 18:00:00, 37.2019, -122.7817,  3.0,  53,  9.6,  9.1
2011-11-18 18:30:00, 37.1915, -122.7756,  2.4,  35,  8.1, 14.2
2011-11-18 19:00:00, 37.1817, -122.7699,  2.8,  45,  9.7, 14.2
2011-11-18 19:30:00, 37.1725, -122.7644,  3.1,  39, 11.1, 11.6
2011-11-18 20:00:00, 37.1630, -122.7588,  4.0,  54, 11.2, 11.6
2011-11-18 20:30:00, 37.1534, -122.7531,  4.0,  40, 11.0, 14.2
2011-11-18 21:00:00, 37.1438, -122.7475,  4.7,  30, 12.4, 12.8
2011-11-18 21:30:00, 37.1351, -122.7424,  4.9,  51, 12.1, 14.2
2011-11-18 22:00:00, 37.1269, -122.7375,  3.8,  42, 11.6, 11.6
2011-11-18 22:30:00, 37.1186, -122.7325,  6.2,  43, 13.1, 14.2
2011-11-18 23:00:00, 37.1105, -122.7278,  4.6,  41, 12.6, 10.7
2011-11-18 23:30:00, 37.1024, -122.7231,  4.6,  52, 11.5, 12.8
2011-11-19 00:00:00, 37.0936, -122.7180,  4.8,  51, 10.5, 21.3
2011-11-19 00:30:00, 37.0844, -122.7126,  4.5,  46, 10.1, 11.6
2011-11-19 01:00:00, 37.0749, -122.7070,  3.6,  84,  8.2, 12.8
2011-11-19 01:30:00, 37.0651, -122.7011,  4.4,  41,  8.9, 14.2
2011-11-19 02:00:00, 37.0550, -122.6953,  3.9,  42,  9.1, 16.0
2011-11-19 02:30:00, 37.0445, -122.6892,  4.1,  34, 10.8, 16.0
2011-11-19 03:00:00, 37.0337, -122.6828,  4.4,  41, 10.6, 11.6
2011-11-19 04:30:00, 37.0025, -122.6642,  4.7,  45, 13.2, 12.8
2011-11-19 05:00:00, 36.9911, -122.6580,  4.1,  45,  9.8, 10.7
2011-11-19 05:30:00, 36.9797, -122.6511,  5.4, 119, 11.6, 11.6
2011-11-19 06:30:00, 36.9821, -122.6257,  5.1,  50, 10.3, 14.2
2011-11-19 07:00:00, 36.9846, -122.6134,  4.8,  49, 10.9, 12.8
2011-11-19 07:30:00, 36.9873, -122.6011,  4.0,  34,  9.9, 10.7
2011-11-19 08:00:00, 36.9899, -122.5890,  3.2,  68,  9.4, 11.6
