Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-11-18 02:30:00, 37.4388, -122.8497,  1.5,  36,  7.9,  9.1
2011-11-18 03:00:00, 37.4323, -122.8521,  2.0,  52,  8.9,  9.8
2011-11-18 03:30:00, 37.4251, -122.8568,  1.8,  44,  7.8, 11.6
2011-11-18 04:00:00, 37.4164, -122.8635,  1.7,  46,  7.6, 10.7
2011-11-18 04:30:00, 37.4077, -122.8703,  1.8,  65,  8.7,  9.8
2011-11-18 05:00:00, 37.4013, -122.8798,  2.3,  66,  9.6, 11.6
2011-11-18 05:30:00, 37.3960, -122.8876,  1.6,  13,  6.9, 10.7
2011-11-18 06:00:00, 37.3902, -122.8961,  1.9,  51,  7.8, 10.7
2011-11-18 06:30:00, 37.3901, -122.8990,  1.4,  44,  6.9, 10.7
2011-11-18 07:00:00, 37.3900, -122.8964,  1.7,  52,  8.6, 11.6
2011-11-18 07:30:00, 37.3900, -122.8986,  2.0,  49,  9.4, 10.7
2011-11-18 08:00:00, 37.3902, -122.8966,  1.8,  63,  8.9, 10.7
2011-11-18 08:30:00, 37.3908, -122.8988,  1.8,  22,  8.0, 10.7
2011-11-18 09:00:00, 37.3898, -122.8973,  1.9,  50,  7.4, 10.7
2011-11-18 09:30:00, 37.3908, -122.8972,  1.7,  33,  8.4, 10.7
2011-11-18 10:00:00, 37.3894, -122.8971,  2.0,  43,  8.4, 11.6
2011-11-18 10:30:00, 37.3843, -122.8920,  1.4,  58,  7.9, 11.6
2011-11-18 11:00:00, 37.3786, -122.8864,  1.5,  33,  7.9, 10.7
2011-11-18 11:30:00, 37.3722, -122.8800,  1.5,  37,  9.5, 11.6
2011-11-18 12:00:00, 37.3670, -122.8701,  2.1,  61,  9.0, 10.7
2011-11-18 12:30:00, 37.3608, -122.8704,  1.8,  44,  7.7, 10.7
2011-11-18 13:00:00, 37.3564, -122.8741,  2.2,  44,  8.3,  9.8
2011-11-18 13:30:00, 37.3536, -122.8818,  1.7,  64,  8.4, 10.7
2011-11-18 14:00:00, 37.3575, -122.8901,  2.0,  57,  6.8, 11.6
2011-11-18 14:30:00, 37.3658, -122.8915,  2.1,  34,  9.1,  9.8
2011-11-18 15:00:00, 37.3716, -122.8834,  1.8,  30,  8.2, 10.7
2011-11-18 15:30:00, 37.3692, -122.8730,  1.9, 242,  8.0, 12.8
2011-11-18 16:00:00, 37.3613, -122.8703,  2.9,  58,  9.7, 10.7
2011-11-18 16:30:00, 37.3556, -122.8759,  2.5,  41,  8.2, 10.7
2011-11-18 18:00:00, 37.3714, -122.8839,  2.5,  43,  7.8,  9.8
2011-11-18 18:30:00, 37.3679, -122.8703,  3.4,  50, 10.8, 14.2
2011-11-18 19:00:00, 37.3575, -122.8714,  2.5,  90,  7.4, 25.6
2011-11-18 20:00:00, 37.3460, -122.8779,  3.8,  70, 11.0, 16.0
2011-11-18 20:30:00, 37.3370, -122.8723,  3.7,  40, 10.2, 16.0
2011-11-18 21:00:00, 37.3286, -122.8670,  3.4,  47,  8.3, 12.8
2011-11-18 21:30:00, 37.3203, -122.8619,  3.2,  58,  7.6, 14.2
2011-11-18 22:00:00, 37.3116, -122.8565,  3.0,  84,  6.9, 16.0
2011-11-18 22:30:00, 37.3029, -122.8513,  4.6,  49, 10.9, 25.6
2011-11-18 23:00:00, 37.2941, -122.8459,  3.3,  49,  9.2, 12.8
2011-11-18 23:30:00, 37.2844, -122.8398,  3.5,  37, 11.7, 14.2
2011-11-19 00:00:00, 37.2741, -122.8332,  3.4,  65,  9.9, 10.7
2011-11-19 00:30:00, 37.2638, -122.8270,  3.7,  72,  8.7, 12.8
