Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-11-18 01:30:00, 37.4482, -122.8344,  1.7,  60,  8.1,  9.1
2011-11-18 02:00:00, 37.4398, -122.8382,  1.4,  57,  7.7,  9.8
2011-11-18 02:30:00, 37.4312, -122.8420,  1.7,  50,  8.6,  9.1
2011-11-18 03:00:00, 37.4233, -122.8456,  1.8,  49,  8.8,  9.8
2011-11-18 03:30:00, 37.4162, -122.8506,  2.1,  58,  8.5,  9.8
2011-11-18 04:00:00, 37.4076, -122.8565,  1.8,  63,  8.2,  9.8
2011-11-18 04:30:00, 37.3989, -122.8626,  2.1,  58,  7.6,  9.1
2011-11-18 05:00:00, 37.3919, -122.8675,  1.3,  44,  7.1, 10.7
2011-11-18 05:30:00, 37.3849, -122.8726,  2.2,  12,  9.0, 21.3
2011-11-18 06:00:00, 37.3766, -122.8783,  1.9,  57,  7.9, 10.7
2011-11-18 06:30:00, 37.3704, -122.8759,  1.9,  42,  8.3, 11.6
2011-11-18 07:00:00, 37.3645, -122.8704,  1.7,  72,  8.3,  9.8
2011-11-18 07:30:00, 37.3572, -122.8724,  1.5,  44,  7.9, 10.7
2011-11-18 08:00:00, 37.3542, -122.8821,  2.0,  41,  8.2,  9.8
2011-11-18 08:30:00, 37.3579, -122.8907,  2.2,  45,  8.9, 10.7
2011-11-18 09:00:00, 37.3677, -122.8920,  2.0,  36,  9.5, 10.7
2011-11-18 09:30:00, 37.3714, -122.8840,  1.7,  36,  8.8, 11.6
2011-11-18 10:00:00, 37.3694, -122.8738,  1.6,  44,  8.3, 11.6
2011-11-18 10:30:00, 37.3640, -122.8703,  1.6,  51,  7.6,  9.1
2011-11-18 11:00:00, 37.3584, -122.8703,  1.6,  71,  8.1, 11.6
2011-11-18 11:30:00, 37.3556, -122.8759,  1.6,  68,  7.4, 10.7
2011-11-18 12:00:00, 37.3534, -122.8815,  1.6,  67,  8.1,  9.8
2011-11-18 12:30:00, 37.3563, -122.8876,  2.1,  31,  8.9, 10.7
2011-11-18 13:00:00, 37.3619, -122.8916,  2.4,  55,  8.6, 10.7
2011-11-18 13:30:00, 37.3691, -122.8888,  1.9,  37, 10.3, 11.6
2011-11-18 14:00:00, 37.3710, -122.8773,  1.6,  47,  8.9, 10.7
2011-11-18 14:30:00, 37.3632, -122.8704,  2.1,  44,  9.5,  9.8
2011-11-18 15:00:00, 37.3555, -122.8761,  1.8,  52,  8.4, 10.7
2011-11-18 15:30:00, 37.3473, -122.8711,  2.5,  40,  9.4, 12.8
2011-11-18 16:00:00, 37.3385, -122.8659,  2.3,  85,  8.6,  9.1
2011-11-18 16:30:00, 37.3293, -122.8603,  3.0,  51,  9.6, 10.7
2011-11-18 17:00:00, 37.3194, -122.8544,  2.5,  46,  9.7, 12.8
2011-11-18 17:30:00, 37.3098, -122.8486,  3.1,  39, 10.8, 11.6
2011-11-18 18:00:00, 37.3009, -122.8431,  2.7,  43,  9.9, 16.0
2011-11-18 18:30:00, 37.2923, -122.8380,  2.8,  36,  8.9, 12.8
2011-11-18 19:00:00, 37.2838, -122.8330,  2.8,  24,  8.3, 25.6
2011-11-18 19:30:00, 37.2752, -122.8277,  3.6,  37, 11.3, 18.3
2011-11-18 20:00:00, 37.2664, -122.8225,  4.4,  61, 10.0, 18.3
2011-11-18 20:30:00, 37.2578, -122.8174,  4.2,  30, 11.2, 12.8
2011-11-18 21:00:00, 37.2504, -122.8130,  4.4,  43, 10.1, 12.8
2011-11-18 21:30:00, 37.2433, -122.8086,  3.9,  47, 11.1, 14.2
2011-11-18 22:00:00, 37.2353, -122.8039,  3.8,  29,  8.7,  9.8
2011-11-18 22:30:00, 37.2281, -122.7995,  5.0,  51, 11.3, 14.2
2011-11-18 23:00:00, 37.2200, -122.7947,  3.5,  23,  8.6, 18.3
2011-11-18 23:30:00, 37.2116, -122.7898,  4.3, 110, 10.4, 25.6
2011-11-19 00:00:00, 37.2032, -122.7847,  3.4,  47,  8.8, 14.2
2011-11-19 00:30:00, 37.1944, -122.7794,  4.0,  55,  9.5, 12.8
2011-11-19 01:00:00, 37.1853, -122.7739,  4.1,  39,  8.6, 25.6
2011-11-19 01:30:00, 37.1763, -122.7685,  4.4,  43,  9.2, 18.3
2011-11-19 02:00:00, 37.1671, -122.7628,  4.5,  28,  9.7, 14.2
2011-11-19 02:30:00, 37.1576, -122.7573,  5.1,  40, 12.3, 11.6
2011-11-19 03:00:00, 37.1474, -122.7510,  6.1,  42, 11.4, 25.6
2011-11-19 03:30:00, 37.1366, -122.7446,  4.7,  51,  9.5, 21.3
2011-11-19 04:30:00, 37.1141, -122.7310,  4.3,  41,  9.8, 16.0
2011-11-19 05:00:00, 37.1024, -122.7241,  4.1,  48,  8.0, 12.8
2011-11-19 05:30:00, 37.0914, -122.7175,  4.7,  53,  8.0, 10.7
2011-11-19 06:00:00, 37.0804, -122.7109,  5.7,  93,  9.4, 12.8
2011-11-19 06:30:00, 37.0698, -122.7045,  5.7,  35, 10.9, 18.3
2011-11-19 07:00:00, 37.0593, -122.6981,  5.4, 124,  8.6, 21.3
2011-11-19 07:30:00, 37.0493, -122.6921,  5.2,  37, 10.1, 18.3
2011-11-19 08:00:00, 37.0393, -122.6862,  4.7,  46,  9.8, 11.6
2011-11-19 08:30:00, 37.0289, -122.6800,  5.8,  39, 13.2, 16.0
2011-11-19 09:00:00, 37.0184, -122.6738,  5.2,  41, 11.0, 14.2
2011-11-19 09:30:00, 37.0074, -122.6670,  4.5,  31, 11.0,  9.8
2011-11-19 10:00:00, 36.9957, -122.6600,  4.2,  22, 11.1, 14.2
2011-11-19 10:30:00, 36.9840, -122.6531,  5.9,  45, 12.8, 16.0
2011-11-19 11:00:00, 36.9780, -122.6453,  3.4,  32, 10.8, 12.8
2011-11-19 11:30:00, 36.9802, -122.6351,  4.7,  46, 10.9, 10.7
2011-11-19 12:00:00, 36.9824, -122.6245,  5.1,  40, 10.8, 12.8
2011-11-19 12:30:00, 36.9846, -122.6139,  4.8,  42, 11.3, 12.8
