Airmar PB200 Wave Glider Data File for PacX Vehicle Piccard Maru
Timestamp(UTC),Latitude,Longitude,Wind Speed(knots),Wind Speed Gust(knots),Wind Direction(degrees),Air Temp.(degrees C),Barometric Pressure(millibars)

2011-11-18 01:10:00,37.4531733,-122.8311067,  2.8,  4.1,218,12.7,1018.9
2011-11-18 01:20:00,37.4509167,-122.8337233,  2.8,  4.3,213,12.9,1018.9
2011-11-18 01:30:00,37.4481783,-122.8343400,  3.3,  4.7,233,13.0,1019.0
2011-11-18 01:40:00,37.4454483,-122.8356800,  3.9,  5.3,243,12.9,1018.9
2011-11-18 01:50:00,37.4427200,-122.8367983,  3.9,  6.1,243,12.6,1018.5
2011-11-18 02:00:00,37.4398133,-122.8382017,  4.7,  7.6,241,12.5,1018.6
2011-11-18 02:10:00,37.4368767,-122.8395417,  5.9,  7.9,244,12.1,1018.9
2011-11-18 02:20:00,37.4338433,-122.8408683,  5.2,  7.4,248,11.9,1018.6
2011-11-18 02:30:00,37.4311583,-122.8420217,  5.6,  7.5,245,11.9,1018.5
2011-11-18 02:40:00,37.4285483,-122.8432200,  5.3,  7.3,253,11.9,1018.6
2011-11-18 02:50:00,37.4259433,-122.8443883,  5.7,  7.7,256,11.9,1018.7
2011-11-18 03:00:00,37.4232817,-122.8455333,  4.6,  8.5,272,11.9,1018.7
2011-11-18 03:10:00,37.4213300,-122.8470100,  7.7, 12.5,288,11.7,1018.7
2011-11-18 03:20:00,37.4188217,-122.8486367,  8.5, 11.6,309,11.7,1018.9
2011-11-18 03:30:00,37.4162350,-122.8505733,  7.4, 10.1,324,11.7,1018.4
2011-11-18 03:40:00,37.4135550,-122.8522367,  6.5,  8.5,325,11.8,1018.2
2011-11-18 03:50:00,37.4105917,-122.8544850,  6.1,  8.7,322,11.9,1018.3
2011-11-18 04:00:00,37.4075983,-122.8564217,  7.1,  9.5,324,11.8,1018.4
2011-11-18 04:10:00,37.4046933,-122.8585317,  7.6,  9.7,330,11.8,1018.5
2011-11-18 04:20:00,37.4017467,-122.8606583,  7.4,  9.2,320,11.8,1018.6
2011-11-18 04:30:00,37.3988767,-122.8625483,  7.7,  9.9,327,11.7,1018.7
2011-11-18 04:40:00,37.3960650,-122.8644600,  7.4,  9.9,328,11.7,1018.8
2011-11-18 04:50:00,37.3936367,-122.8660517,  6.6,  9.0,330,11.9,1018.4
2011-11-18 05:00:00,37.3918600,-122.8674967,  5.9,  7.6,319,12.1,1019.0
2011-11-18 05:10:00,37.3897967,-122.8691217,  5.7,  7.7,321,12.1,1019.0
2011-11-18 05:20:00,37.3876233,-122.8706367,  4.5,  6.3,326,12.2,1019.0
2011-11-18 05:30:00,37.3848983,-122.8725933,  4.1,  5.7,321,12.4,1019.4
2011-11-18 05:40:00,37.3819633,-122.8745333,  4.0,  5.1,320,12.4,1019.4
2011-11-18 05:50:00,37.3792300,-122.8763283,  4.3,  5.5,320,12.3,1019.8
2011-11-18 06:00:00,37.3766100,-122.8783450,  4.0,  5.7,316,12.3,1019.3
2011-11-18 06:10:00,37.3738633,-122.8802867,  3.0,  4.3,320,12.2,1019.0
2011-11-18 06:20:00,37.3717967,-122.8792583,  3.7,  5.9,318,12.1,1019.1
2011-11-18 06:30:00,37.3704483,-122.8759050,  3.7,  5.5,311,12.0,1019.3
2011-11-18 06:40:00,37.3690417,-122.8728183,  2.7,  4.9,307,12.4,1018.9
2011-11-18 06:50:00,37.3673033,-122.8702783,  3.6,  5.1,304,12.4,1019.0
2011-11-18 07:00:00,37.3644933,-122.8703850,  3.6,  5.3,298,12.3,1019.0
2011-11-18 07:10:00,37.3620433,-122.8704533,  4.3,  6.0,288,12.3,1019.0
2011-11-18 07:20:00,37.3593200,-122.8704167,  6.3,  9.0,284,11.9,1019.0
2011-11-18 07:30:00,37.3572133,-122.8723733,  7.4,  9.9,284,11.7,1018.9
2011-11-18 07:40:00,37.3554983,-122.8759883,  7.9, 11.1,280,11.7,1019.1
2011-11-18 07:50:00,37.3541633,-122.8792500,  8.0, 10.3,282,11.7,1019.2
2011-11-18 08:00:00,37.3542250,-122.8821300,  7.6, 10.3,285,11.7,1019.0
2011-11-18 08:10:00,37.3552733,-122.8852367,  5.7,  9.0,282,11.9,1018.9
